Mutual Fund,Symbol
Axis Enhanced Arbitrage Direct Dividend Payout,AXIS_ENHA_ARBI_P6OVII
Axis Enhanced Arbitrage Direct Dividend Reinvestment,AXIS_ENHA_ARBI_1E56ILG
Axis Enhanced Arbitrage Direct Growth,AXIS_ENHA_ARBI_KAISS2
Axis Enhanced Arbitrage Regular Dividend Payout,AXIS_ENHA_ARBI_1YATXLH
Axis Enhanced Arbitrage Regular Dividend Reinvestment,AXIS_ENHA_ARBI_H4G83E
Axis Enhanced Arbitrage Regular Growth,AXIS_ENHA_ARBI_IYKV5H
Axis Equity Advantage Series 1 1590 Days Direct Growth,AXIS_EQUI_ADV_K2JTGZ
Axis Equity Advantage Series 1 1590 Days Regular Growth,AXIS_EQUI_ADV_1JJ2VDA
Axis Equity Dividend Payout,AXIS_EQUI_DP_129FT0K
Axis Equity Dividend Reinvestment,AXIS_EQUI_DR_1RB5US6
Axis Equity Fund - Direct Plan - Growth,AXIS_EQUI_DIR_16Y5H0D
Axis Equity Fund Direct Plan Dividend Payout,AXIS_EQUI_DIR_FNYULC
Axis Equity Fund Direct Plan Dividend Reinvestment,AXIS_EQUI_DIR_1DSU80V
Axis Equity Growth,AXIS_EQUI_GR_U792N5
Axis Equity Saver Fund Direct Plan Growth,AXIS_EQUI_SAVE_LA6TPJ
Axis Equity Saver Fund Direct Plan Monthly Dividend Payout,AXIS_EQUI_SAVE_1AJCCO5
Axis Equity Saver Fund Direct Plan Monthly Dividend Reinvestment,AXIS_EQUI_SAVE_1REW3XA
Axis Equity Saver Fund Direct Plan Quarterly Dividend Payout,AXIS_EQUI_SAVE_1TK61HS
Axis Equity Saver Fund Direct Plan Quarterly Dividend Reinvestment,AXIS_EQUI_SAVE_18JF712
Axis Equity Saver Fund Direct Plan Regular Dividend Payout,AXIS_EQUI_SAVE_SZUMBN
Axis Equity Saver Fund Direct Plan Regular Dividend Reinvestment,AXIS_EQUI_SAVE_S965WR
Axis Equity Saver Fund Regular Plan Dividend Payout,AXIS_EQUI_SAVE_1OPT6SC
Axis Equity Saver Fund Regular Plan Growth,AXIS_EQUI_SAVE_1MAH5FP
Axis Equity Saver Fund Regular Plan Monthly Dividend Payout,AXIS_EQUI_SAVE_139RBTK
Axis Equity Saver Fund Regular Plan Monthly Dividend Reinvestment,AXIS_EQUI_SAVE_2NOIB1
Axis Equity Saver Fund Regular Plan Quarterly Dividend Payout,AXIS_EQUI_SAVE_6SLRS
Axis Equity Saver Fund Regular Plan Quarterly Dividend Reinvestment,AXIS_EQUI_SAVE_99CE85
Axis Equity Saver Fund Regular Plan Regular Dividend Reinvestment,AXIS_EQUI_SAVE_1IDLD2W
Axis Fixed Income Opportunities Direct Growth,AXIS_FIXE_INCO_CW58UK
Axis Fixed Income Opportunities Direct Monthly Dividend Payout,AXIS_FIXE_INCO_BG2QTN
Axis Fixed Income Opportunities Direct Monthly Dividend Reinvestment,AXIS_FIXE_INCO_1NQP1XJ
Axis Fixed Income Opportunities Direct Weekly Dividend Payout,AXIS_FIXE_INCO_18PHI5L
Axis Fixed Income Opportunities Direct Weekly Dividend Reinvestment,AXIS_FIXE_INCO_1M4ADSI
Axis Fixed Income Opportunities Regular Growth,AXIS_FIXE_INCO_1B15CTC
Axis Fixed Income Opportunities Regular Monthly Dividend Payout,AXIS_FIXE_INCO_186AN3T
Axis Fixed Income Opportunities Regular Monthly Dividend Reinvestment,AXIS_FIXE_INCO_15XYHWI
Axis Fixed Income Opportunities Regular Weekly Dividend Payout,AXIS_FIXE_INCO_1X9AXOI
Axis Fixed Income Opportunities Regular Weekly Dividend Reinvestment,AXIS_FIXE_INCO_G8U7RV
Axis Fixed Term Plan Series 52 428 Days Direct Growth,AXIS_FTP_SER_13TSYF8
Axis Fixed Term Plan Series 52 428 Days Regular Growth,AXIS_FTP_SER_16PN92N
Axis Fixed Term Plan Series 52 428 Days Regular Quarterly Dividend,AXIS_FTP_SER_1FY7N2Q
Axis Fixed Term Plan Series 53 1150 Days Direct Growth,AXIS_FTP_SER_17NC7GW
Axis Fixed Term Plan Series 53 1150 Days Regular Dividend,AXIS_FTP_SER_1HUAHP6
Axis Fixed Term Plan Series 53 1150 Days Regular Growth,AXIS_FTP_SER_1QMOEBR
Axis Fixed Term Plan Series 61 1122 Days Direct Growth,AXIS_FTP_SER_YBHFLV
Axis Fixed Term Plan Series 61 1122 Days Regular Dividend,AXIS_FTP_SER_12GRW4Q
Axis Fixed Term Plan Series 61 1122 Days Regular Growth,AXIS_FTP_SER_1OGLDR5
Axis Fixed Term Plan Series 61 1122 Days Regular Half Yearly Dividend,AXIS_FTP_SER_1ULA6EI
Axis Fixed Term Plan Series 64 715 Days Direct Growth,AXIS_FTP_SER_6FQAL0
Axis Fixed Term Plan Series 64 715 Days Regular Dividend,AXIS_FTP_SER_1KZ2TG8
Axis Fixed Term Plan Series 64 715 Days Regular Growth,AXIS_FTP_SER_OKQI8J
Axis Fixed Term Plan Series 67 1218 Days Direct Growth,AXIS_FTP_SER_1E93TGT
Axis Fixed Term Plan Series 67 1218 Days Regular Dividend,AXIS_FTP_SER_1SABDXI
Axis Fixed Term Plan Series 67 1218 Days Regular Growth,AXIS_FTP_SER_1VRP4G7
Axis Fixed Term Plan Series 69 3 Years Direct Growth,AXIS_FTP_SER_S62P2R
Axis Fixed Term Plan Series 69 3 Years Regular Dividend,AXIS_FTP_SER_17KGAL3
Axis Fixed Term Plan Series 69 3 Years Regular Growth,AXIS_FTP_SER_195GZE4
Axis Fixed Term Plan Series 69 3 Years Regular Half Yearly Dividend,AXIS_FTP_SER_WZARD5
Axis Fixed Term Plan Series 74 1105 Days Direct Dividend,AXIS_FTP_SER_PVJK9
Axis Fixed Term Plan Series 74 1105 Days Direct Growth,AXIS_FTP_SER_16VQXXB
Axis Fixed Term Plan Series 74 1105 Days Regular Dividend,AXIS_FTP_SER_MCVOWQ
Axis Fixed Term Plan Series 74 1105 Days Regular Growth,AXIS_FTP_SER_1BU4LHD
Axis Fixed Term Plan Series 74 1105 Days Regular Half Yearly Dividend,AXIS_FTP_SER_1XBM971
Axis Fixed Term Series 42 Direct Growth,AXIS_FTP_SER_K5OPXK
Axis Fixed Term Series 42 Regular Dividend,AXIS_FTP_SER_1KXJMK4
Axis Fixed Term Series 42 Regular Growth,AXIS_FTP_SER_1UCZC1C
Axis Fixed Term Series 43 Direct Growth,AXIS_FTP_SER_17ILHX5
Axis Fixed Term Series 43 Regular Growth,AXIS_FTP_SER_170JFNG
Axis Fixed Term Series 47 Direct Growth,AXIS_FTP_SER_1P8Q4SA
Axis Fixed Term Series 47 Regular Growth,AXIS_FTP_SER_IB464E
Axis Fixed Term Series 47 Regular Quarterly Dividend,AXIS_FTP_SER_1ZNIVV
Axis Fixed Term Series 48 Direct Dividend,AXIS_FTP_SER_QL6Z4U
Axis Fixed Term Series 48 Direct Growth,AXIS_FTP_SER_14ACVHR
Axis Fixed Term Series 48 Regular Dividend,AXIS_FTP_SER_I4NXLX
Axis Fixed Term Series 48 Regular Growth,AXIS_FTP_SER_T432SC
Axis Fixed Term Series 48 Regular Half Yearly Dividend,AXIS_FTP_SER_1V1DCKZ
Axis Fixed Term Series 49 Direct Growth,AXIS_FTP_SER_2CNTX0
Axis Fixed Term Series 49 Regular Dividend,AXIS_FTP_SER_1LOHBBQ
Axis Fixed Term Series 49 Regular Growth,AXIS_FTP_SER_UZ5BVE
Axis Focused 25 Fund - Direct Plan - Growth Option,AXIS_FOCU_25_9C9U2F
Axis Focused 25 Fund Direct Plan Dividend Payout Option,AXIS_FOCU_25_1DY3VQB
Axis Focused 25 Fund Direct Plan Dividend Reinvestment Option,AXIS_FOCU_25_1SSXED1
Axis Focused 25 Fund Dividend Payout,AXIS_FOCU_25_1YB5PND
Axis Focused 25 Fund Dividend Reinvestment,AXIS_FOCU_25_1VS3FK7
Axis Focused 25 Fund Growth,AXIS_FOCU_25_OWFWDS
Axis Gold Dividend Payout,AXIS_GOLD_DP_1DHIF9W
Axis Gold Dividend Reinvestment,AXIS_GOLD_DR_1YT8A5H
Axis Gold Fund - Direct Plan - Growth option,AXIS_GOLD_DIR_1U5AB87
Axis Gold Fund Direct Plan Dividend Payout option,AXIS_GOLD_DIR_1ICGAZE
Axis Gold Fund Direct Plan Dividend Reinvestment option,AXIS_GOLD_DIR_1XEOTRL
Axis Gold Growth,AXIS_GOLD_GR_1QCNI4S
Axis Hybrid Fund Series 11 42 Months Direct Dividend,AXIS_HYBR_SER_BMTK9H
Axis Hybrid Fund Series 11 42 Months Direct Growth,AXIS_HYBR_SER_1EDJBC
Axis Hybrid Fund Series 11 42 Months Regular Dividend,AXIS_HYBR_SER_1R6QQYO
Axis Hybrid Fund Series 11 42 Months Regular Growth,AXIS_HYBR_SER_AFHJW
Axis Hybrid Fund Series 12 1282 Days Direct Dividend,AXIS_HYBR_SER_H41XVH
Axis Hybrid Fund Series 12 1282 Days Direct Growth,AXIS_HYBR_SER_1TDVWHQ
Axis Hybrid Fund Series 12 1282 Days Regular Dividend,AXIS_HYBR_SER_J83C3Y
Axis Hybrid Fund Series 12 1282 Days Regular Growth,AXIS_HYBR_SER_LIK2HB
Axis Hybrid Fund Series 13 1275 Days Direct Dividend,AXIS_HYBR_SER_1M59M5A
Axis Hybrid Fund Series 13 1275 Days Direct Growth,AXIS_HYBR_SER_OBNJT7
Axis Hybrid Fund Series 13 1275 Days Regular Dividend,AXIS_HYBR_SER_S66R25
Axis Hybrid Fund Series 13 1275 Days Regular Growth,AXIS_HYBR_SER_1YG79OS
Axis Hybrid Fund Series 14 1274 Days Direct Dividend,AXIS_HYBR_SER_117FCEG
Axis Hybrid Fund Series 14 1274 Days Direct Growth,AXIS_HYBR_SER_X9XYWI
Axis Hybrid Fund Series 14 1274 Days Regular Dividend,AXIS_HYBR_SER_JOMD58
Axis Hybrid Fund Series 14 1274 Days Regular Growth,AXIS_HYBR_SER_IXC04S
Axis Hybrid Fund Series 18 42 Months Direct Dividend,AXIS_HYBR_SER_1FS6MPT
Axis Hybrid Fund Series 18 42 Months Direct Growth,AXIS_HYBR_SER_47X1FG
Axis Hybrid Fund Series 18 42 Months Regular Dividend,AXIS_HYBR_SER_16US7CW
Axis Hybrid Fund Series 18 42 Months Regular Growth,AXIS_HYBR_SER_1IKYBCN
Axis Hybrid Fund Series 19 42 Months Direct Dividend,AXIS_HYBR_SER_1S0I653
Axis Hybrid Fund Series 19 42 Months Direct Growth,AXIS_HYBR_SER_AI3DLA
Axis Hybrid Fund Series 19 42 Months Regular Dividend,AXIS_HYBR_SER_EDNO9L
Axis Hybrid Fund Series 19 42 Months Regular Growth,AXIS_HYBR_SER_19XGM4R
Axis Hybrid Fund Series 22 1278 Days Direct Dividend,AXIS_HYBR_SER_PEZ367
Axis Hybrid Fund Series 22 1278 Days Direct Growth,AXIS_HYBR_SER_17ORMMQ
Axis Hybrid Fund Series 22 1278 Days Regular Dividend,AXIS_HYBR_SER_U8YZ0I
Axis Hybrid Fund Series 22 1278 Days Regular Growth,AXIS_HYBR_SER_U6LMIT
Axis Hybrid Fund Series 24 1276 Days Direct Dividend,AXIS_HYBR_SER_80X7BS
Axis Hybrid Fund Series 24 1276 Days Direct Growth,AXIS_HYBR_SER_1B2KXWY
Axis Hybrid Fund Series 24 1276 Days Regular Dividend,AXIS_HYBR_SER_1WMEP4R
Axis Hybrid Fund Series 24 1276 Days Regular Growth,AXIS_HYBR_SER_14BERTY
Axis Hybrid Fund Series 25 1278 Days Direct Dividend,AXIS_HYBR_SER_9Y9FLX
Axis Hybrid Fund Series 25 1278 Days Direct Growth,AXIS_HYBR_SER_I7G41X
Axis Hybrid Fund Series 25 1278 Days Regular Dividend,AXIS_HYBR_SER_1CGCS6T
Axis Hybrid Fund Series 25 1278 Days Regular Growth,AXIS_HYBR_SER_HPZ14D
Axis Hybrid Fund Series 26 1276 Days Direct Dividend,AXIS_HYBR_SER_17LVKLO
Axis Hybrid Fund Series 26 1276 Days Direct Growth,AXIS_HYBR_SER_GRCHTB
Axis Hybrid Fund Series 26 1276 Days Regular Dividend,AXIS_HYBR_SER_16EI4HK
Axis Hybrid Fund Series 26 1276 Days Regular Growth,AXIS_HYBR_SER_KCLCDE
Axis Hybrid Fund Series 27 1351 Days Direct Dividend,AXIS_HYBR_SER_H75SY4
Axis Hybrid Fund Series 27 1351 Days Direct Growth,AXIS_HYBR_SER_1XGEG0F
Axis Hybrid Fund Series 27 1351 Days Regular Dividend,AXIS_HYBR_SER_1FWPVFE
Axis Hybrid Fund Series 27 1351 Days Regular Growth,AXIS_HYBR_SER_19CEJ3C
Axis Hybrid Fund Series 28 1331 Days Direct Dividend,AXIS_HYBR_SER_1HNXMJ1
Axis Hybrid Fund Series 28 1331 Days Direct Growth,AXIS_HYBR_SER_1G2KCOA
Axis Hybrid Fund Series 28 1331 Days Regular Dividend,AXIS_HYBR_SER_GIFLJ3
Axis Hybrid Fund Series 28 1331 Days Regular Growth,AXIS_HYBR_SER_1OPD25N
Axis Hybrid Fund Series 29 1275 Days Direct Growth,AXIS_HYBR_SER_FE3T29
Axis Hybrid Fund Series 29 1275 Days Regular Dividend,AXIS_HYBR_SER_WZ5AMI
Axis Hybrid Fund Series 29 1275 Days Regular Growth,AXIS_HYBR_SER_1RXP19I
Axis Hybrid Fund Series 30 1297 Days Direct Growth,AXIS_HYBR_SER_133QPCT
Axis Hybrid Fund Series 30 1297 Days Regular Dividend,AXIS_HYBR_SER_R8BCIZ
Axis Hybrid Fund Series 30 1297 Days Regular Growth,AXIS_HYBR_SER_OGTKOD
Axis Hybrid Fund Series 31 1381 Days Direct Dividend,AXIS_HYBR_SER_1VBJ2PO
Axis Hybrid Fund Series 31 1381 Days Direct Growth,AXIS_HYBR_SER_4RNESA
Axis Hybrid Fund Series 31 1381 Days Regular Dividend,AXIS_HYBR_SER_13NIZOI
Axis Hybrid Fund Series 31 1381 Days Regular Growth,AXIS_HYBR_SER_5VO645
Axis Hybrid Fund Series 32 1367 Days Direct Dividend,AXIS_HYBR_SER_1VWU3ZU
Axis Hybrid Fund Series 32 1367 Days Direct Growth,AXIS_HYBR_SER_1FLQAW8
Axis Hybrid Fund Series 32 1367 Days Regular Dividend,AXIS_HYBR_SER_19UGC21
Axis Hybrid Fund Series 32 1367 Days Regular Growth,AXIS_HYBR_SER_53W4TJ
Axis Hybrid Fund Series 33 1358 Days Direct Dividend,AXIS_HYBR_SER_4BYYDP
Axis Hybrid Fund Series 33 1358 Days Direct Growth,AXIS_HYBR_SER_KO97DN
Axis Hybrid Fund Series 33 1358 Days Regular Dividend,AXIS_HYBR_SER_ZUSW25
Axis Hybrid Fund Series 33 1358 Days Regular Growth,AXIS_HYBR_SER_53FHSD
Axis Hybrid Fund Series 35 1359 Days Direct Growth,AXIS_HYBR_SER_149N4LW
Axis Hybrid Fund Series 35 1359 Days Regular Dividend,AXIS_HYBR_SER_QGPHEN
Axis Hybrid Fund Series 35 1359 Days Regular Growth,AXIS_HYBR_SER_197FOHB
Axis Hybrid Fund Series 5 Direct Dividend,AXIS_HYBR_SER_9DK6XS
Axis Hybrid Fund Series 5 Direct Growth,AXIS_HYBR_SER_DQ7UCN
Axis Hybrid Fund Series 5 Regular Dividend,AXIS_HYBR_SER_NOSB30
Axis Hybrid Fund Series 5 Regular Growth,AXIS_HYBR_SER_874JVI
Axis Hybrid Fund Series 6 Direct Dividend,AXIS_HYBR_SER_1H7J3BQ
Axis Hybrid Fund Series 6 Direct Growth,AXIS_HYBR_SER_12WUP07
Axis Hybrid Fund Series 6 Regular Dividend,AXIS_HYBR_SER_1HPHPLQ
Axis Hybrid Fund Series 6 Regular Growth,AXIS_HYBR_SER_AFXMHG
Axis Hybrid Fund Series 7 Direct Dividend,AXIS_HYBR_SER_QQZTTD
Axis Hybrid Fund Series 7 Direct Growth,AXIS_HYBR_SER_OPBO00
Axis Hybrid Fund Series 7 Regular Dividend,AXIS_HYBR_SER_UAKQ2N
Axis Hybrid Fund Series 7 Regular Growth,AXIS_HYBR_SER_1JYC98R
Axis Hybrid Fund Series 8 Direct Dividend,AXIS_HYBR_SER_QF1XJH
Axis Hybrid Fund Series 8 Direct Growth,AXIS_HYBR_SER_143TCCX
Axis Hybrid Fund Series 8 Regular Dividend,AXIS_HYBR_SER_1TFGZHA
Axis Hybrid Fund Series 8 Regular Growth,AXIS_HYBR_SER_EU7RL8
Axis Hybrid Fund Series 9 Direct Dividend,AXIS_HYBR_SER_9ISN2O
Axis Hybrid Fund Series 9 Direct Growth,AXIS_HYBR_SER_Q2R00K
Axis Hybrid Fund Series 9 Regular Dividend,AXIS_HYBR_SER_1X5PI8
Axis Hybrid Fund Series 9 Regular Growth,AXIS_HYBR_SER_A0II5G
Axis Hybrid Series 15 1275 Days Direct Dividend,AXIS_HYBR_SER_1QGE6SM
Axis Hybrid Series 15 1275 Days Direct Growth,AXIS_HYBR_SER_VK7CWC
Axis Hybrid Series 15 1275 Days Regular Dividend,AXIS_HYBR_SER_102HNES
Axis Hybrid Series 15 1275 Days Regular Growth,AXIS_HYBR_SER_1Y4QCII
Axis Income Saver - Direct Plan - Growth Option,AXIS_INCO_SAVE_1UYWYGK
Axis Income Saver Annual Dividend Payout,AXIS_INCO_SAVE_15K7AUU
Axis Income Saver Annual Dividend Reinvestment,AXIS_INCO_SAVE_A1D9SB
